Source,Gen_comp
And then he said.,And then he said.
Okay come son leads me.,Okay come son leads me.
And then he said.,And then he said.
And he could not he say with them.,And he could not say he could not say with them.
And then come.,And then come.
That he said.,That he said.
And he let.,And he let.
Oh he drid@you.,Oh he drid@you.
And he said.,And he said.
Okay i ədrid@you heed.,Okay i drid@you heed.
And he tell him.,And he tell him.
I hafta nice be everybody.,I hafta nice be everybody.
And then sɑɪnɪ@you.,And then sn@you.
No it is not light.,No it is not light.
It is not until hem.,It is not until hem.
And he said to.,And he said to go.
You are beautiful.,You are beautiful.
And then he said.,And then he said.
Go to your seat.,Go to your seat.
I do not know.,I do not know.
I did not.,I did not.
She he ticked the tall.,She he ticked the tall.
And it broz@you in the window.,And it broz@you in the window.
And the father said.,And the father said.
And then he is on the window lʊtɪn@you at who the ball in the bɪndo.,And then he is on the window ltn@you at who the ball in the b
Aw man$co i tea.,Aw man$co i tea.
Okay fine then he wanted to doe in this fair.,Okay fine then he wanted to doe in this fair.
And they said “no”.,And they said “no”.
The and sue went back to tʊkɪn@you kinɪn@you.,The and sue went back to tkn@you kinn@you.
And they throwing the fair.,And they are throwing the fair.
No i got to doe.,No i got to doe.
So he the kɛrɪnmðɚ@you come.,So he the krnm@you come.
And dʒi@you said.,And di@you said.
Please let me low.,Please let me go low.
And then she said.,And then she said.
Okay due dɑ@you no but di@you dæt@you the midnight.,Okay due d@you no but di@you dt@you the midnight.
And see had a stɝt@you and strulz@you and her pntɪn@you wd@you a tævɪnts@you.,And see had a stt@you and strulz@you and her pnt
And the horse.,And the horse.
And he said.,And he said.
I think it was a mouse but not i am okay.,I think it was a mouse but not i am okay.
And one of the ðv@you mice mɑʊfs@you.,And one of the v@you mice mfs@you.
And they kɔn@you and that.,And they kn@you and that.
And for me they.,And for me they are.
And then the king.,And then the king.
And off the go to the fair.,And off we go to the fair.
What is it ?.,What is it?.
Sɪnɪnɪ@you went and the had a dʊd@you time.,Snn@you went and the had a dd@you time.
Before that she wd a had a dɪfɪd@you dɛs.,Before that she wd a had a dfd@you ds.
And they see saw dɔ@you up.,And they see saw d@you up.
And the stake the and then.,And the stake is the and then.
They pfɪt the thing and sent her back home.,They pft the thing and sent her back home.
Okay that they there.,Okay that they are there.
And then getting a good time.,And then getting a good time.
And then “ohno”.,And then “ohno”.
The tɛlv@you dptɑk@you.,The tlv@you dptk@you.
So she is getting it right.,So she is getting it right.
And then all this thing.,And then all this other thing.
And for me he vz@you going ðərɑʊnd@you the krækɪt@you.,And for me he vz@you going rnd@you the krk
And they lock the tɪndəvɛnə@you in the room.,And they lock the tndvn@you in the room.
And then the must was tea.,And then the must was tea.
And see bolts on out and said.,And see the bolts on the outside and said.
And she said.,And she said.
Oh is it hid feet.,Oh is it hid his feet.
And they vʊno@you.,And they vno@you.
And see she going to off the mævɪ@you.,And see she is going to go to off the mv@you.
And ɛvrɪddɪ@you live nætɪ@you ever æftɪ@you.,And vrdd@you live nt@you ever ft
I get the bed.,I get the bed.
I got my the pimt@you butter and the psɛdə@you.,I got my the pimt@you butter and the psd@you.
But i getting from me.,But i am getting from me.
Okay let us that is tɛmps@you.,Okay let us do that is tmps@you.
So peanut peɚ@you and one sides of bed.,So peanut pe@you and one side of the bed.
And get the bed.,And get the bed.
And i write them out on the bvɛd@you.,And i write them out on the bvd@you.
And then i get on the theme.,And then i get on the theme.
I get tɪmpts@you or.,I get tmpts@you or.
And i dɪdz@you out dɪdɚ@you for me.,And i ddz@you out dd@you for me.
I said and i on the bed and i boom.,I said and i was on the bed and i boom.
And dare dæt@you peanut banana dɛdə@you sæno@you with tips.,And dare dt@you peanut banana dd@you sno@you
Who dæt@you ?.,Who dt@you?.
Who dæt@you ?.,Who dt@you?.
Read girl and boy doe pretty.,Read girl and boy doe pretty.
But eɪ@you die.,But e@you die.
Eɪ@you die oh.,E@you die oh.
Two huh them.,Two huh.
Hair roʊs@you really gross.,Hair ros@you really gross.
"Good , pretty.","Good, pretty."
Here you go.,Here you go.
I do not know.,I do not know.
Opeɪ@you thankyou oh much.,Ope@you thankyou oh much.
"Weeping , fɑp@you hair.","Weeping, fp@you hair."
Two of them.,Two of them.
Well θɪnərɛlə@you mice a mice.,Well nrl@you mice a mice.
And good rinse.,And good rinse.
Oh thankyou doe mutt.,Oh thankyou doe mutt.
I do it.,I do it.
And dæt@you you too.,And dt@you you too.
"Mean , really mean.","Mean, really mean."
What are doing here ?.,What are you doing here.
I am mom bɑbɛ@you mother yeah.,I am a mom bb@you mother yeah.
I do not know.,I do not know.
Thankyou dou much.,Thankyou dou much.
Where a ball ?.,Where is the ball?.
Well hold on.,Well hold on.
Hɔr@you hm obey.,Hr@you hm obey.
Two of them.,Two of them.
Now you are good.,Now you are good.
Be back obey ?.,Be back and obey?.
I do not know.,I do not know.
I do not know.,I do not know.
I am me.,I am me.
I and i like you.,I like you and i like you.
So dɑr@you byebye.,So dr@you byebye.
Riding on the roe.,Riding on the roe.
Ohman i l@you them.,Ohman i l@you them.
I l@you them doe mutt.,I l@you them doe mutt.
Where two of them ?.,Where are two of them?.
Gɪt@you hold on.,Gt@you hold on.
Obey yep them.,Obey yep them.
Obey two of them no.,Obey two of them no.
Here he go.,Here he go.
Bake it good.,Bake it good.
Up the dares.,Up the dares.
I do it.,I do it.
"Hurry up , hurry up.","Hurry up, hurry up."
Me i do it.,Me i do it.
Oh ri@you of them ?.,Oh ri@you of them?.
Yeah go “wow good”.,Yeah go “wow good”.
He and mountains.,He is in the mountains.
Two of them.,Two of them.
One peanut butter.,One is peanut butter.
And two yeah deli.,And two yeah deli.
Fit right there.,Fit right there.
"First, boy outside kicking the ball.","Second, boy outside kicking the ball."
And the uhoh the glass splattered.,And the uhoh the glass splattered.
And the inside the house the ball went inside.,And the inside of the house the ball went inside.
Ohboy and the man.,Ohboy and the man.
What happened ?.,What happened was that.
"And stand up, the ball, looking.","And stand up, the ball, looking."
And just all.,And just all.
It is all.,It is all.
I do not.,I do not know.
"One day the mean old mother, somewhat.","One day the mean old mother, somewhat."
"And think dree girls, mean as can be.","And I think dree girls, mean as can be."
"Cellerella the maid, cleaning animals, everything.","Cellerella the maid, cleaning animals, everything."
One day the palace.,One day the palace.
Three girls dress.,Three girls are dressed.
Mama and mean old sisters polish.,Mama and mean old sisters are polish.
And cinuhrella pretty.,And cinuhrella pretty.
Excuseme mama said.,Excuseme mama said.
Cinerella dress pretty.,Cinderella dress pretty.
Far away kindof.,Far away kindof.
"It is not fairy, somewhat.","It is not a fairy, somewhat."
The wish upon the star.,The wish upon the star.
The horse pretty.,The horse is pretty.
And cinuhwella sorry cinerella all dress and slippers yes.,And cinuhwella sorry cinerella all dress and slippers yes.
And the off the palace.,And the off the palace.
"And pretty, pretty cinuhwella and the princess vance and dance, dance.","And pretty, pretty cinuhwella and the princess vance and dance, dance."
Sisters cannot stand them.,Sisters cannot stand them.
"Finally one of the clock, hafta go.","Finally one of the clock, hafta go."
And the slippers went off.,And the slippers went off.
The hurry up and go.,The hurry up and go.
"And on the way home, change cellerella the maid again.","And on the way home, change cellerella the maid again."
And decided lost a shoe.,And decided to lose a shoe.
Cindewella and sisters gosh tried it on.,Cindewella and sisters gosh tried it on.
And cinderella the shoe fit.,And cinderella the shoe fit.
Irs get the bread and knife and the peanut butter ?.,Irs get the bread and knife and the peanut butter.
And peanut butter first open the can.,And peanut butter first open the can.
And the fork.,And the fork.
And put it back.,And put it back.
Knife or the spoon whatever.,The knife or the spoon whatever.
And spread it.,And spread it.
And ohgosh lord.,And ohgosh lord.
And then the forgot the plate.,And then the guy forgot the plate.
And the bread make it nice.,And the bread make it nice.
And it is not a fork.,And it is not a fork.
Cut it and eat it.,Cut it and eat it.
Kick the ball.,Kick the ball.
Throw the ball.,Throw the ball.
And hit the ball.,And hit the ball.
Hit the ball.,Hit the ball.
Throw the ball.,Throw the ball.
Hit the ball.,Hit the ball.
And throw the ball.,And throw the ball.
Cinderella was nice.,Cinderella was nice.
But he was gone because snow snowwhite was good.,But he was gone because snow snowwhite was good.
Anyway because he was transfer.,Anyway because he was transfer.
And ride away because bebecause cinderella was good.,And ride away because bebecause cinderella was good.
Cinderella was good because they was nice and a good job.,Cinderella was good because they were nice and did a good job.
Cinderella was good because nice.,Cinderella was good because she was nice.
I do not know.,I do not know.
Cinderella was good because one two three.,Cinderella was good because one two three.
They were scary.,They were scary.
And good job because they was ride the boat.,And good job because they were going to ride the boat.
I do not know.,I do not know.
Imean oh i do not know.,I mean oh i do not know.
We going to ride.,We are going to ride.
Ohman i do not know.,Ohman i do not know.
Cinderella was good job.,Cinderella was a good job.
Peanut butter was good job.,Peanut butter was a good job.
Peanut butter nice.,Peanut butter nice.
Want to eat.,Want to eat.
Butiwetter wutiwetter butiwetter.,Butiwetter wutiwetter butiwetter.
Peadut butter jelly sprandwich.,Peadut butter jelly sprandwich.
I do not know.,I do not know.
I do not know.,I do not know.
I do not.,I do not.
Yeah oh yeah.,Yeah oh yeah.
I do not know.,I do not know.
I do not know.,I do not know.
I do not.,I do not know.
I am not.,I am not.
One two oh this one.,One two oh this one.
No kidding no.,No kidding no.
Yeah this one yeah.,Yeah this one yeah.
It is right here.,It is right here.
You grand force airforce base.,You are grand force airforce base.
We i one two three four five six.,We i one two three four five six.
Six a week and six.,Six a week and six.
And i cannot no and breeze.,And i cannot no and the breeze.
I cannot breeze and.,I cannot see the breeze and the.
Help me !.,Help me!.
Help me !.,Help me!.
And they are right here doctors.,And they are right here doctors.
And be come and rescued me.,And be come and rescued me.
And further along one another right there.,And further along one another right there.
And you knew the rest.,And you knew the rest.
One month recovery.,One month recovery.
Doctor ten five days.,Doctor ten five days.
And one two three four.,And one two three four.
Yeah tɝɾɪ@you two days recovery.,Yeah t@you two days recovery.
And that is it.,And that is it.
I am what i am.,I am what i am.
All kinds of things.,All kinds of things.
I there new indiana university i five.,I was there at new indiana university i was there for five.
They are coming right here.,They are coming right here.
Five one five right here.,Five one five right here.
No indiana university right here.,No indiana university right here.
And same wednesday.,And same on wednesday.
No right now but different comma.,No right now but different comma.
Okay he coming.,Okay he's coming.
Dead my speech.,Dead my speech.
But indiana and here.,But indiana and here.
I love airforce.,I love the airforce.
Two four years of service.,Two four years of service.
I love the airforce.,I love the airforce.
Kɑʊs@you tigu@you teɪgu@you me.,Ks@you tigu@you tegu@you tegu@you me
Oh ohmygod four rooms.,Oh ohmygod four rooms.
A nice place.,The food was good.
New and mine.,New and mine.
Very nice place.,Very nice place.
And one seven.,And one seven.
That is it.,That is it.
Fun lots of fun.,Fun lots of fun.
Oops he fell.,Oops he fell.
Boop a crash.,Boop a crash.
And that is it.,And that is it.
I do not think this.,I do not think this is the case.
I am following.,I am following.
Ow i am well$co riniŋ@you.,Ow i am well$co rini@you.
Help me !.,Help me!.
Golding an umbrella.,Golding is holding an umbrella.
Cat messed up and running.,Cat messed up and running.
And dog bother running stairs.,And the dog is not going to run up the stairs.
And a ladder broke.,And a ladder broke.
And help me.,And help me.
And freɪn@you trɑɪɚ@you firetrucks.,And fren@you tr@you firetrucks.
Oh help me.,Oh help me.
And that is all.,And that is all.
One ətɑn@you a time there were cinderella.,One tn@you a time there were cinderella.
But he looking for a wife.,But he is looking for a wife.
And what'shisname mother did not like him.,And what's his name mother did not like him.
Cinderella was frightened.,Cinderella was frightened.
And help me.,And help me.
I am drowning.,I am drowning.
And thinderella little mice that big.,And thinderella little mice that big.
Boom a horse.,Boom a horse.
My kingdom for a horse.,My kingdom for a horse.
And cinderella two snooty.,And cinderella two snooty.
It i fit.,It i fit.
So cinderella happy ever after.,So cinderella happy ever after.
Beater and butter and jelly sandwich.,Beater and butter and jelly and butter and jelly sandwich.
Frɑɪs@you two butter bint@you butter and jelly sandwich.,Frs@you two butter bnt@you butter and jelly sandwich.
First you second beaner butter.,First you need to second you need to use butter.
And two breads.,And two breads.
First the jam.,First the jam.
And then butter.,And then butter.
And two eat it.,And two eat it.
I do not know.,I do not know.
Two tinds yes.,Two tinds yes.
I do not know.,I do not know.
Oh ten thousands of ththem.,Oh ten thousands of thththem.
Yes they maybe.,Yes they might.
I do not know.,I do not know.
Backitball shit batsitball.,Backitball shit batsitball.
Yes battitball oh.,Yes battitball oh.
Oh leg hit it.,Oh leg hit it.
Leg hit one more time.,Leg hit one more time.
It leg hit more.,It hit the leg more.
I do not know.,I do not know.
Tʃoʊt@you and head.,Tot@you and head.
Not to be merstaken by a head.,Not to be mertaken by a head.
I do not know.,I do not know.
A dog chase a up to a tree.,A dog chases a ball up to a tree.
Oh two men throwing away to the bar.,Oh two men throwing away to the bar.
True men yes.,True men yes.
Leg shirt leg pants leg.,Leg shirt leg pants leg.
I do not know.,I do not know.
Peanut butter and jelly sandwich.,Peanut butter and jelly sandwich.
I do not know.,I do not know.
Peanut butter and jelly sandwich.,Peanut butter and jelly sandwich.
Peanut butter and jelly sandwich.,Peanut butter and jelly sandwich.
Oh wɑk@you why bread sandwich bread and bread.,Oh wk@you why bread sandwich bread and bread.
I do not know.,I do not know.
You hear ?.,You hear?.
Heh whoa no.,Heh whoa no.
I was think of going yeah.,I was thinking of going to the gym.
It is really.,It is really.
Yeah it is probably.,Yeah it is probably.
Yeah it is.,Yeah it is.
Youknow i was.,Youknow i was.
Youknow after a while it is youknow i am just sitting there going.,Youknow after a while it is youknow i am just sitting there going.
I do not.,I do not know.
I just sit there going.,I just sit there going.
Maybe bebecause i was sitting there going the stroke really good.,Maybe bebecause i was sitting there going the stroke really good.
I was good.,I was good.
Know what it is.,Know what it is.
He was the controller.,He was the controller.
The spibo gasoline company.,The spibo gasoline company.
What it is.,What it is.
Yeah now i was the controller.,Yeah now i was the controller.
So youknow i am it is okay youknow.,So youknow i am okay it is okay youknow.
Well maybe okay.,Well maybe okay.
Oh i was the florida.,Oh i was in the florida.
Yeah pretty good.,Yeah pretty good.
The where is the firstnamej.,The where is the first name j.
Yeah pretty good.,Yeah pretty good.
It is pretty good.,It is pretty good.
Youknow it is sitting there going.,Youknow it is sitting there going.
Oh yeah forgot.,Oh yeah forgot.
Yeah i am here.,Yeah i am here.
And was the thing.,And that was the thing.
I do not know.,I do not know.
Those are the.,Those are the.
He was raining.,He was in the rain.
Yeah he was in.,Yeah he was in.
Aw man$co really.,Aw man$co really.
High that was a the firetruck.,High that was a the firetruck.
He goes to the firemen.,He goes to the firemen.
Okay he was the dad.,Okay he was the dad.
And the dog.,And the dog.
No he was cat dat.,No he was a cat dat.
Okay and over there the cat yeah dog.,Okay and over there the cat yeah dog.
The cat and the dog.,The cat and the dog.
Nope i noʊnt@you.,Nope i don’t know@you.
The prince the.,The prince the.
And he was the go the.,And he was going to go to the.
He was prince.,He was a prince.
That is good.,That is good.
I can do that.,I can do that.
And the peanut butter.,And the peanut butter.
And get some the bread.,And get some of the bread.
Then you go kɔbɛriz@you.,Then you go kbriz@you.
The peanut butter and bread.,The peanut butter and bread.
And group here with the thing.,And the group here with the thing.
My speech ?.,My speech?.
Sometimes i can do it good.,Sometimes i can do it good.
But sometimes i just cannot think of the words.,But sometimes i just cannot think of the words.
Well the first one no.,Well the first one no.
I could hear the doctors that morning.,I could hear the doctors that morning.
I could hear them talking.,I could hear them talking.
I could hear what they were saying.,I could hear what they were saying.
But i could not do things.,But i could not do things.
I could listen to them.,I could listen to them.
And then later it was just hard to say things.,And then later it was just hard to say things.
I could not take words.,I could not take any words.
I did not know words.,I did not know what the words were.
But when i gɪd@you the in january i thought it was really.,But when i gd@you the in january i thought it was really.
I was in my house by myself.,I was in my house by myself.
And i did not even what i was wrong.,And i did not even know what i was wrong with.
I knew that i was doing something that was wrong.,I knew that i was doing something that was wrong.
So i called my son.,So i called my son.
And then they thought i was.,And then they thought i was.
They could talk.,They could talk.
They talked to me.,They talked to me.
But i could not talk.,But i could not talk.
But they would tell me to do things.,But they would tell me to do things.
And i would think.,And i would think.
Well i do not have to do that.,Well i do not have to do that.
I do not need to do that.,I do not need to do that.
I could tell it.,I could tell it was.
I could not tell them that.,I could not tell them that.
Firstnamem my son's wife she kept saying.,Firstnamem my son's wife she kept saying.
You are falling.,You are falling.
And i am thinking.,And i am thinking.
No i am not.,No i am not.
I did not yeah.,I did not do that yeah.
But it is imean in december things easier.,But it is imean in december things are easier.
Well like right now ?.,Well like right now?.
My firstnamer my daughter.,My firstname is my daughter.
I am learning to on the computer to learn how to read.,I am learning to read on the computer to learn how to read.
I cannot read.,I cannot read.
But i can listen to the books.,But i can listen to the books.
I am not really good yet.,I am not really good yet.
And then i have gotten on this thing.,And then i have gotten on this thing.
I do not know what it is.,I do not know what it is.
It is see i learn all kinds of things.,It is see i learn all kinds of things.
Okay they will tell me restaurants.,Okay they will tell me the restaurants.
And then if i need i can say it is in arby's.,And then if i need i can say it is in arby's.
So i have that.,So i have that.
I am learning how to do this.,I am learning how to do this.
I do not know how much long until it will be.,I do not know how long until it will be.
But i hope it is soon.,But i hope it is soon.
And then my friends they are good about telling me what are words youknow.,And then my friends they are good about telling me what are the words youknow.
There is some people even know what you are doing.,There is some people who don't even know what you are doing.
I just have learned that people do not say.,I just have learned that people do not say.
What is it i ?.,What is it i?.
They do not even know w@you the word.,They do not even know w@you the word.
And then will say something like a table@q.,And then will say something like a table@q.
They will say.,They will say.
I cannot think of the thing table@q.,I cannot think of the thing table@q.
But they will give me all kinds of things all over the world.,But they will give me all kinds of things all over the world.
And i will think.,And i will think.
It is this.,It is like this.
And they will say.,And they will say.
Well there is nothing there.,Well there is nothing there.
And i will say.,And i will say.
Yes it is.,Yes it is.
It is a.,It is a.
And then when i figure it out i say.,And then when i figure it out i say.
It is a table.,It is a table.
And they will go.,And they will go.
They think i am kindof not really thinking.,They think i am kindof not really thinking.
So but and i have firstnamer.,So but and i have a firstname.
She tells me lotsof words.,She tells me lotsof words.
And she puts it on my text.,And she puts it on my text.
And she will tell me the word.,And she will tell me the word.
And then i can learn how to do it.,And then i can learn how to do it.
And then i will.,And then i will.
We just about.,We just about.
Like at entry.,Like at the entry.
I know that the my bed my bedroom or my table or going to my food.,I know that the my bed my bedroom or my table or going to my food.
But i do not know what is that thing entry@q.,But i do not know what is that thing entry@q.
So i am trying to learn.,So i am trying to learn.
I just say it over and sovɚ@you.,I just say it over and over and sov@you.
Oh just over it.,Oh just over it.
And sometimes i do not do this anymore but right now my son put this word ?.,And sometimes i do not do this anymore but right now my son put this word?.
You probably cannot see now.,You probably cannot see now.
It is a table.,It is a table.
Then i put it on my table sothat i can yeah.,Then i put it on my table sothat i can yeah.
My granddaughter does that for me all the time because she is really smart.,My granddaughter does that for me all the time because she is really smart.
But that is all.,But that is all.
Well i was just telling you about something.,Well i was just telling you about something.
Well my friend we were in kindergarten or first year.,Well my friend and I were in kindergarten or first year.
And we were friends.,And we were friends.
And we went to school.,And we went to school.
And we went to church.,And we went to church.
And we liked the friends.,And we liked the friends.
And then about six sixth years i called her.,And then about six or six years later i called her.
And i said.,And i said.
Is this in on facebook ?.,yes
I learned how from text.,I learned how to do that from text.
Imean anyway what was that called ?.,I mean anyway what was that called?
Anyway we were friends.,Anyway we were friends.
And i said.,And i said.
Is this your name ?.,Is this your name.
And are you this friend when i was five ?.,And are you this friend when i was five?
And she said.,And she said.
And she was ɑlɪ@you nice.,And she was l@you nice.
And we were friendly.,And we were friendly.
And so we were getting movies and lunch.,And so we were getting movies and lunch.
Four years ago we fɝd@you learning things friends.,Four years ago we fd@you learning things from friends.
And then on my stroke she has been so nice.,And then on my stroke she has been so nice.
And she has been helping me words and going places to bebecause i can drive now.,And she has been helping me with words and going places to bebecause i can drive now.
But if i go someplace that i knows it where it is i can go there.,But if i go someplace that i know it where it is i can go there.
And she will take me to other places cannot remember where to go.,And she will take me to other places I cannot remember where to go.
That was being friendly.,That was being friendly.
And i am so glad that we were friends when we were five or six.,And i am so glad that we were friends when we were five or six.
And so now we are seventy one.,And so now we are seventy one.
So that is been a long time that we have been friends.,So that is been a long time that we have been friends.
Is that what you need ?.,Is that what you need?
The boy at a ball.,The boy is at the ball.
A it is s@l r@l e@l.,A it is s@l r@l e@l.
I cannot think of that word.,I cannot think of that word.
He was playing.,He was playing.
The boy was playing with the ball.,The boy was playing with the ball.
And allofasudden it he kicked it really big really hard.,And all of a sudden it he kicked it really big really hard.
And allofasudden click !.,And all of a sudden click!.
It is on the window.,It is on the window.
And he heard it.,And he heard it.
It he well he heard it.,He well he heard it.
And then the man was in the house.,And then the man was in the house.
And the ball came throwing fall onto the person.,And the ball came throwing fall onto the person.
And it fell the pæmp@you.,And it fell the pmp@you.
I do not know what that word is.,I do not know what that word is.
There was something nextto the man.,There was something next to the man.
There is something that is hurt.,There is something that is hurt.
And it so then he looked out to the ball.,And it was so then he looked out to the ball.
He looked to on the window to see who was outside.,He looked to the window to see who was outside.
The boy was outside.,The boy was outside.
Well he was looking to find who was outside.,Well he was looking to find who was outside.
I do not want it.,I do not want it.
And the mom says.,And the mom says.
The mom says to get it to the boy.,The mom says to get it to the boy.
And so the mom made it do it.,And so the mom made it do it.
And then he did not want to.,And then he did not want to.
So he did not keep it.,So he did not keep it.
And then the boy kept on the water.,And then the boy kept on going on the water.
He found it was raiding raining.,He found it was raining heavily.
Imean it was really wet.,I mean it was really wet.
And then he came home.,And then he came home.
And his mom said.,And his mom said.
I am really wet.,I am really wet.
And the mom says.,And the mom says.
No you are really wet.,No you are really wet.
And i am sortof aggravated to that to you.,And i am sortof aggravated to that to you.
And then the mom says to put on the.,And then the mom says to put on the.
It is you@l r@l b@l.,It is you@l r@l b@l.
But then he put it up.,But then he put it up.
And he get it so he was not wet.,And he got it so he was not wet.
What is that word ?.,a.
Well the girl was getting on the cat.,Well the girl was getting on the cat.
And s find the cat and get it out.,And s find the cat and get it out.
And then i guess maybe his dad imean he tried it or somebody did.,And then i guess maybe his dad tried it or somebody did.
And the dog was growling.,And the dog was growling.
And he wanted to go there too.,And he wanted to go there too.
But somebody else decided that he could not get out there.,But somebody else decided that he could not get out there.
I cannot get out.,I cannot get out of here.
It is too tall.,It is too tall.
What is that word ?.,a.
The two men they got it.,The two men they got it.
With the man was on the.,With the man was on the floor.
Imean he was in it.,I mean he was in it.
And then it fell off.,And then it fell off.
And the man he the.,And the man he said he was going to the.
It is not a table.,It is not a table.
Anyway it came out.,Anyway it came out.
And the man he could not get out.,And the man he could not get out.
Well the two men got back.,Well the two men got back.
And they got him.,And they got him.
And they got the cat and the man.,And they got the cat and the man.
I guess that is all.,I guess that is all.
There was a princess.,There was a princess.
I guess it was the princess.,I guess it was the princess.
And it was not a lady.,And it was not a lady.
She was grumpy.,She was grumpy.
And she had θyou@you children that ugly.,And she had you@you children that were ugly.
And she made the.,And she made the.
And they were grumpy.,And they were grumpy.
Boy i cannot remember that part.,Boy i cannot remember that part.
And then they were going to have a party.,And then they were going to have a party.
And they said that lady the pretty one she hadta stay home and work.,And they said that lady the pretty one she had to stay home and work.
But the other ugly people they hadta go and see the prince.,But the other ugly people they had to go and see the prince.
And they made the one she hadta work and wear the animals.,And they made the one she hadta work and wear the animals.
And then that sprinkly person.,And then that sprinkly person.
I do not know what her blah.,I do not know what her blah.
The sprinkly person she said.,The sprinkly person she said.
You can go in the prince's birthday party.,You can go to the prince's birthday party.
And she said.,And she said.
You get a really car.,You get a really nice car.
It is a word.,It is a word.
Anyway it was really pretty a white shirt.,Anyway it was really pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty
I do not know.,I do not know.
That sprinkly person she said she can take it.,That sprinkly person she said she can take it.
And the car made it to his the prince's house.,And the car made it to his the prince's house.
And that everybody was there.,And that everybody was there.
And he thought he loved her.,And he thought he loved her.
He thought she was really pretty.,He thought she was really pretty.
And then it was twelve of the clock at midnight.,And then it was twelve of the clock at midnight.
And she hadta be home by that time.,And she had to be home by that time.
And she kɑɪm@you running house to go to where she lives.,And she km@you running house to go to where she lives.
And the it was clear.,And the it was clear.
And the man that works there it her.,And the man that works there is going to be able to see her.
Foot feet her no it is not her foot.,Foot feet her no it is not her foot.
And everybody in the world said you hadta look that beautiful the not that person but just who had the hand.,And everybody in the world said you hadta look at that beautiful the not that person but just who had the hand.
What is that ?.,What is that?.
And finally they found it was the princess.,And finally they found it was the princess.
And the princess and the man they hadta be there.,And the princess and the man they had to be there.
And i guess they lived there forever.,And i guess they lived there forever.
I feel like a children.,I feel like a child.
I am done.,I am done.
If you made me ?.,If you made me?.
Do you like it ?.,Do you like it?.
Okay then you can have it because i do not like it.,Okay then you can have it because i do not like it.
See i those words.,See i have those words.
The i will never say that word.,I will never say that word.
It is white.,It is white.
